Countries,Continent,Average_Pop(thousands people),Average_GDP(M$),Average_GDP_per_capita($),Average_HEXP($),Development_level,AMR_female(per_1000_female_adults),AMR_male(per_1000_male_adults),Average_CDR
Afghanistan,Asia,38947.06,17995.64,462.05,80.53,Short,204.85,322.17,7.08
Albania,Europe,2834.57,16263.16,5737.44,420.17,Short,53.54,103.55,10.2
Algeria,Africa,43445.0,160325.54,3690.31,215.53,Short,70.85,102.21,4.78
Angola,Africa,33428.62,72148.29,2158.28,61.29,Short,218.03,316.81,7.88
Antigua and Barbuda,North America,92.67,1509.63,16290.97,868.6,Average,58.76,103.77,6.06
Argentina,South America,45374.74,443212.28,9767.82,985.36,Short,82.87,143.85,8.35
Armenia,Europe,2805.73,13374.14,4766.73,573.12,Short,76.26,228.57,11.82
Australia,Australia,25556.5,1514105.79,59245.44,6186.68,High,42.02,74.11,6.57
Austria,Europe,8917.53,453405.07,50844.26,5778.39,High,40.95,75.49,10.0
Azerbaijan,Europe,10085.05,48496.47,4808.75,232.16,Short,120.13,250.51,6.9
Bahrain,Asia,1478.31,37526.6,25384.84,1092.18,Average,50.73,59.78,2.24
Bangladesh,Asia,167431.14,379314.11,2265.49,52.09,Short,110.96,157.49,5.59
Barbados,North America,280.69,4960.33,17671.85,1299.72,Average,85.77,125.24,8.96
Belgium,Europe,11537.93,551810.42,47825.79,5277.94,High,47.33,80.24,10.07
Belize,North America,394.68,2329.33,5901.78,297.75,Short,129.34,237.22,5.44
Benin,Africa,12643.49,15921.69,1259.28,31.72,Short,245.11,291.39,9.35
Bhutan,Asia,772.48,2419.44,3132.03,151.51,Short,113.47,155.78,6.55
Bosnia and Herzegovina,Europe,3316.69,21452.65,6468.1,608.97,Short,53.67,98.18,14.02
Botswana,Africa,2544.84,16797.9,6600.76,414.49,Short,233.24,331.25,7.79
Brazil,South America,213101.8,1666339.45,7819.45,785.66,Short,97.44,189.6,7.44
Brunei Darussalam,Asia,441.72,13160.4,29793.85,679.41,Average,97.28,141.34,5.01
Bulgaria,Europe,6929.17,74410.97,10738.8,864.87,Average,98.42,207.52,18.4
Burkina Faso,Africa,21524.98,17950.03,833.92,52.85,Short,234.2,311.92,8.84
Burundi,Africa,12215.43,3148.44,257.74,25.47,Short,240.7,309.63,7.46
Cabo Verde,Africa,582.53,2050.18,3519.43,205.32,Short,69.47,191.66,5.63
Cambodia,Asia,16397.88,26641.08,1624.67,116.66,Short,135.67,205.48,6.34
Cameroon,Africa,26490.69,41947.69,1583.49,59.92,Short,268.74,324.82,8.39
Canada,North America,37944.96,1797603.4,47373.96,5963.91,High,51.68,88.18,7.83
Central African Republic,Africa,5336.5,2415.56,452.65,38.99,Short,367.68,450.72,11.1
Chad,Africa,16650.44,11175.92,671.21,34.22,Short,342.54,408.48,12.45
Chile,South America,19277.66,283100.99,14685.44,1389.39,Average,62.76,114.99,7.0
China,Asia,1410401.67,15654113.01,11099.05,639.02,Average,55.54,108.84,7.11
Colombia,South America,50878.21,303898.15,5973.05,506.83,Short,90.6,173.6,6.58
Comoros,Africa,806.26,1230.38,1526.04,95.65,Short,193.43,268.83,8.4
Costa Rica,North America,5120.53,63809.92,12461.58,981.73,Average,57.0,116.18,6.1
Croatia,Europe,3997.31,62942.8,15746.29,1172.91,Average,43.71,105.0,14.33
Cuba,North America,11291.26,105390.0,9333.77,1107.65,Short,85.06,145.59,11.58
Cyprus,Europe,1236.85,26436.5,21373.99,2481.7,Average,40.96,68.18,6.99
Czechia,Europe,10625.17,260104.65,24480.05,2140.28,Average,56.09,115.31,11.97
Denmark,Europe,5834.19,366674.81,62849.35,6627.81,High,43.94,71.35,9.5
Djibouti,Africa,1089.9,3214.08,2948.96,70.94,Short,215.74,300.83,8.8
Dominica,North America,71.94,550.86,7656.68,631.04,Short,103.21,170.99,8.51
Dominican Republic,North America,10999.81,87343.15,7940.43,372.5,Short,104.9,197.09,6.38
Ecuador,South America,17576.69,104521.67,5946.61,497.96,Short,100.71,184.3,6.39
El Salvador,North America,6295.7,26727.0,4245.28,403.69,Short,120.63,287.85,8.18
Equatorial Guinea,Africa,1594.52,11244.23,7051.82,251.26,Short,241.38,310.37,8.88
Eritrea,Africa,3558.33,2101.98,590.72,25.35,Short,175.58,237.06,6.49
Estonia,Europe,1329.12,33214.5,24989.89,1827.63,Average,58.2,147.04,12.5
Eswatini,Africa,1180.85,4406.95,3732.03,265.61,Short,312.64,498.27,9.96
Ethiopia,Africa,117198.18,96147.14,820.38,27.93,Short,174.49,265.52,6.61
Fiji,Australia,921.17,4751.75,5158.41,245.25,Short,182.93,239.43,8.29
Finland,Europe,5530.72,278929.63,50432.77,4894.77,High,42.81,88.87,10.07
France,Europe,67574.47,2775253.8,41069.56,4880.27,High,46.95,92.35,9.57
Gabon,Africa,2292.18,17474.28,7623.44,228.16,Short,187.96,274.95,7.01
Georgia,Europe,3717.16,17316.39,4658.5,360.95,Short,75.43,235.51,14.01
Germany,Europe,83149.97,4012611.25,48257.52,6016.41,High,46.39,84.31,11.83
Ghana,Africa,32178.57,72487.96,2252.68,93.54,Short,210.49,279.22,7.41
Greece,Europe,10663.13,203019.03,19039.35,1696.64,Average,42.35,94.52,12.47
Grenada,North America,123.67,1120.62,9061.69,520.34,Short,89.28,154.43,8.07
Guatemala,North America,16857.37,80599.02,4781.23,307.22,Short,141.19,241.65,5.58
Guinea,Africa,13204.87,14574.01,1103.68,44.74,Short,254.57,290.64,9.85
Guinea-Bissau,Africa,2015.67,1577.17,782.45,65.17,Short,261.82,346.75,8.5
Guyana,South America,800.17,6101.03,7624.63,412.65,Short,180.07,299.91,8.49
